3,4,
4,0,
5,5,
6,10,
1,0,
2,3,
3,4,
4,0,
5,5,
6,8,
1,0,
2,3,
3,4,
4,0,
5,5,
6,8,
1,0,
2,3,
3,4,
4,0,
5,5,
6,9,
1,0,
2,4,
3,4,
4,0,
5,5,
6,9,
1,0,
2,4,
3,4,
4,0,
5,5,
6,10,
1,0,
2,4,
3,4,
4,1,
5,4,
6,9,
1,0,
2,4,
3,4,
4,1,
5,4,
6,10,
1,0,
2,4,
3,4,
4,1,
5,4,
6,8,
1,0,
2,4,
3,4,
4,1,
5,5,
6,7,
1,0,
2,4,
3,4,
4,1,
5,5,
6,9,
1,0,
2,4,
3,4,
4,1,
5,5,
6,8,
1,0,
2,3,
3,4,
4,1,
5,4,
6,10,
1,0,
2,3,
3,4,
4,1,
5,4,
6,10,
1,0,
2,3,
3,4,
4,1,
5,4,
6,9,
1,0,
2,3,
3,4,
4,1,
5,4,
6,10,
1,0,
2,3,
3,4,
4,1,
5,4,
6,9,
1,0,
2,3,
3,6,
4,1,
5,4,
6,9,
1,0,
2,3,
3,6,
4,1,
5,4,
6,8,
1,0,
2,3,
3,6,
4,1,
5,4,
6,8,
1,0,
2,3,
3,6,
4,0,
5,4,
6,8,
1,0,
2,3,
3,4,
4,1,
5,4,
6,8,
1,0,
2,3,
3,5,
4,1,
5,4,
6,7,
1,0,
2,3,
3,5,
4,1,
5,4,
6,7,
1,0,
2,3,
3,5,
4,1,
5,4,
6,4,
1,0,
2,2,
3,6,
4,1,
5,4,
6,4,
1,0,
2,2,
3,4,
4,1,
5,5,
6,7,
1,0,
2,2,
3,6,
4,1,
5,5,
6,7,
1,0,
2,2,
3,6,
4,1,
5,5,
6,7,
1,0,
2,2,
3,6,
4,1,
5,5,
6,6,
1,0,
2,2,
3,6,
4,1,
5,5,
6,7,
1,0,
2,2,
3,5,
4,1,
5,5,
6,7,
1,0,
2,2,
3,6,
4,0,
5,5,
6,7,
1,0,
2,2,
3,6,
4,1,
5,6,
6,7,
1,0,
2,2,
3,6,
4,1,
5,6,
6,7,
1,0,
2,2,
3,6,
4,1,
5,6,
6,7,
1,0,
2,2,
3,6,
4,1,
5,6,
6,7,
1,0,
2,2,
3,6,
4,1,
5,6,
6,5,
1,0,
2,2,
3,6,
4,0,
5,7,
6,5,
1,0,
2,2,
3,6,
4,0,
5,7,
6,5,
1,0,
2,2,
3,6,
4,0,
5,6,
6,8,
1,0,
2,2,
3,6,
4,0,
5,6,
6,6,
1,0,
2,2,
3,5,
4,0,
5,6,
6,6,
1,0,
2,2,
3,6,
4,0,
5,6,
6,7,
1,0,
2,2,
3,6,
4,0,
5,6,
6,8,
1,0,
2,2,
3,6,
4,0,
5,4,
6,7,
1,0,
2,2,
3,5,
4,0,
5,4,
6,5,
1,0,
2,2,
3,5,
4,0,
5,3,
6,5,
1,0,
2,2,
3,5,
4,0,
5,5,
6,6,
1,0,
2,2,
3,5,
4,0,
5,5,
6,4,
1,0,
2,2,
3,5,
4,0,
5,6,
6,4,
1,0,
2,2,
3,5,
4,0,
5,6,
6,5,
1,0,
2,2,
3,5,
4,0,
5,7,
6,7,
1,0,
2,2,
3,5,
4,0,
5,7,
6,6,
1,0,
2,2,
3,5,
4,0,
5,7,
6,6,
1,0,
2,2,
3,5,
4,0,
5,6,
6,6,
1,0,
2,2,
3,5,
4,0,
5,4,
6,6,
1,0,
2,2,
3,5,
4,0,
5,6,
6,6,
1,0,
2,2,
3,5,
4,0,
5,6,
6,7,
1,0,
2,2,
3,5,
4,0,
5,6,
6,7,
1,0,
2,2,
3,5,
4,0,
5,6,
6,7,
1,0,
2,2,
3,5,
4,0,
5,6,
6,7,
1,0,
2,2,
3,4,
4,1,
5,5,
6,7,
1,0,
2,2,
3,3,
4,1,
5,5,
6,7,
1,0,
2,2,
3,4,
4,1,
5,4,
6,6,
1,0,
2,2,
3,4,
4,1,
5,4,
6,6,
1,0,
2,3,
3,4,
4,1,
5,4,
6,6,
1,0,
2,3,
3,4,
4,1,
5,4,
6,6,
1,0,
2,3,
3,3,
4,1,
5,4,
6,7,
1,0,
2,3,
3,5,
4,1,
5,5,
6,7,
1,0,
2,3,
3,5,
4,1,
5,5,
6,7,
1,0,
2,3,
3,5,
4,1,
5,4,
6,7,
1,0,
2,3,
3,5,
4,1,
5,4,
6,8,
1,0,
2,3,
3,5,
4,1,
5,4,
6,7,
1,0,
2,3,
3,5,
4,1,
5,5,
6,8,
1,0,
2,4,
3,5,
4,0,
5,5,
6,9,
1,0,
2,4,
3,5,
4,0,
5,5,
6,10,
1,0,
2,4,
3,5,
4,1,
5,5,
6,10,
1,0,
2,4,
3,5,
4,1,
5,5,
6,9,
1,0,
2,4,
3,5,
4,1,
5,6,
6,10,
1,0,
2,4,
3,5,
4,1,
5,6,
6,10,
1,0,
2,4,
3,5,
4,1,
5,6,
6,10,
1,0,
2,4,
3,5,
4,1,
5,6,
6,9,
1,0,
2,4,
3,5,
4,1,
5,6,
6,8,
1,0,
2,4,
3,5,
4,1,
5,6,
6,6,
1,0,
2,4,
3,5,
4,1,
5,6,
6,8,
1,0,
2,4,
3,5,
4,1,
5,6,
6,8,
1,0,
2,4,
3,5,
4,1,
5,6,
6,8,
1,0,
2,4,
3,5,
4,1,
5,6,
6,8,
1,0,
2,4,
3,5,
4,1,
5,6,
6,9,
1,0,
2,4,
3,5,
4,1,
5,6,
6,9,
1,0,
2,5,
3,3,
4,1,
5,6,
6,8,
1,0,
2,4,
3,4,
4,1,
5,6,
6,7,
1,0,
2,4,
3,4,
4,2,
5,5,
6,7,
1,0,
2,4,
3,4,
4,2,
5,4,
6,7,
1,0,
2,4,
3,4,
4,1,
5,4,
6,8,
1,0,
2,4,
3,4,
4,1,
5,4,
6,8,
1,0,
2,4,
3,4,
4,2,
5,4,
6,8,
1,0,
2,4,
3,3,
4,1,
5,5,
6,8,
1,0,
2,5,
3,3,
4,1,
5,4,
6,5,
1,0,
2,5,
3,3,
4,1,
5,4,
6,6,
1,0,
2,5,
3,4,
4,1,
5,5,
6,5,
1,0,
2,5,
3,5,
4,1,
5,4,
6,6,
1,0,
2,5,
3,5,
4,0,
5,5,
6,4,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,5,
3,5,
4,1,
5,5,
6,5,
1,0,
2,5,
3,5,
4,1,
5,5,
6,6,
1,0,
2,5,
3,5,
4,0,
5,6,
6,4,
1,0,
2,5,
3,5,
4,0,
5,6,
6,4,
1,0,
2,5,
3,5,
4,0,
5,6,
6,4,
1,0,
2,5,
3,5,
4,0,
5,6,
6,3,
1,0,
2,5,
3,5,
4,0,
5,6,
6,3,
1,0,
2,5,
3,5,
4,0,
5,6,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,3,
1,0,
2,4,
3,5,
4,0,
5,5,
6,4,
1,0,
2,4,
3,5,
4,0,
5,4,
6,3,
1,0,
2,4,
3,5,
4,0,
5,6,
6,3,
1,0,
2,4,
3,5,
4,0,
5,6,
6,3,
1,0,
2,4,
3,5,
4,0,
5,6,
6,3,
1,0,
2,4,
3,5,
4,0,
5,6,
6,2,
1,0,
2,4,
3,4,
4,0,
5,6,
6,2,
1,0,
2,4,
3,4,
4,1,
5,4,
6,3,
1,0,
2,4,
3,5,
4,1,
5,4,
6,5,
1,0,
2,3,
3,5,
4,1,
5,4,
6,3,
1,0,
2,3,
3,5,
4,1,
5,4,
6,3,
1,0,
2,3,
3,5,
4,1,
5,4,
6,3,
1,0,
2,4,
3,5,
4,1,
5,4,
6,2,
1,0,
2,4,
3,5,
4,1,
5,4,
6,3,
1,0,
2,4,
3,5,
4,1,
5,4,
6,3,
1,0,
2,4,
3,5,
4,1,
5,4,
6,2,
1,0,
2,4,
3,4,
4,0,
5,4,
6,2,
1,0,
2,4,
3,4,
4,0,
5,4,
6,3,
1,0,
2,4,
3,5,
4,1,
5,5,
6,2,
1,0,
2,4,
3,5,
4,1,
5,4,
6,1,
1,0,
2,4,
3,4,
4,1,
5,4,
6,1,
1,0,
2,3,
3,4,
4,0,
5,4,
6,1,
1,0,
2,3,
3,4,
4,0,
5,4,
6,1,
1,0,
2,3,
3,4,
4,0,
5,4,
6,2,
1,0,
2,3,
3,3,
4,1,
5,4,
6,2,
1,0,
2,3,
3,4,
4,1,
5,4,
6,3,
1,0,
2,3,
3,4,
4,1,
5,4,
6,3,
1,0,
2,3,
3,4,
4,1,
5,4,
6,5,
1,0,
2,3,
3,3,
4,1,
5,4,
6,2,
1,0,
2,3,
3,3,
4,1,
5,2,
6,2,
1,0,
2,3,
3,3,
4,1,
5,3,
6,3,
1,0,
2,4,
3,3,
4,1,
5,3,
6,5,
1,0,
2,3,
3,4,
4,1,
5,3,
6,5,
1,0,
2,4,
3,4,
4,1,
5,3,
6,3,
1,0,
2,4,
3,4,
4,0,
5,3,
6,5,
1,0,
2,4,
3,4,
4,0,
5,3,
6,4,
1,0,
2,4,
3,3,
4,1,
5,3,
6,5,
1,0,
2,4,
3,3,
4,1,
5,3,
6,6,
1,0,
2,4,
3,3,
4,1,
5,4,
6,5,
1,0,
2,4,
3,3,
4,0,
5,4,
6,5,
1,0,
2,4,
3,2,
4,0,
5,4,
6,6,
1,0,
2,4,
3,3,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,3,
4,0,
5,4,
6,6,
1,0,
2,4,
3,3,
4,0,
5,4,
6,6,
1,0,
2,4,
3,3,
4,0,
5,3,
6,6,
1,0,
2,3,
3,4,
4,0,
5,4,
6,5,
1,0,
2,4,
3,4,
4,0,
5,4,
6,5,
1,0,
2,4,
3,5,
4,0,
5,4,
6,5,
1,0,
2,4,
3,5,
4,0,
5,4,
6,6,
1,0,
2,4,
3,5,
4,0,
5,4,
6,6,
1,0,
2,4,
3,5,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,7,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,3,
6,5,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,7,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,7,
1,0,
2,4,
3,4,
4,0,
5,4,
6,6,
1,0,
2,4,
3,4,
4,0,
5,4,
6,5,
1,0,
2,4,
3,5,
4,0,
5,4,
6,6,
1,0,
2,4,
3,5,
4,0,
5,4,
6,5,
1,0,
2,4,
3,5,
4,0,
5,5,
6,5,
1,0,
2,4,
3,5,
4,0,
5,5,
6,6,
1,0,
2,4,
3,4,
4,0,
5,5,
6,5,
1,1,
2,3,
3,4,
4,0,
5,5,
6,5,
1,0,
2,3,
3,4,
4,0,
5,5,
6,6,
1,0,
2,4,
3,4,
4,0,
5,5,
6,6,
1,0,
2,4,
3,4,
4,0,
5,5,
6,6,
1,0,
2,4,
3,4,
4,0,
5,5,
6,6,
1,0,
2,4,
3,4,
4,0,
5,5,
6,6,
1,0,
2,3,
3,4,
4,0,
5,5,
6,6,
1,0,
2,3,
3,4,
4,0,
5,6,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,5,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,5,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,5,
1,0,
2,3,
3,3,
4,1,
5,4,
6,5,
1,0,
2,4,
3,4,
4,1,
5,4,
6,5,
1,0,
2,4,
3,4,
4,1,
5,4,
6,4,
1,1,
2,4,
3,3,
4,1,
5,4,
6,4,
1,0,
2,4,
3,3,
4,1,
5,4,
6,4,
1,0,
2,3,
3,4,
4,2,
5,4,
6,5,
1,0,
2,3,
3,5,
4,2,
5,4,
6,5,
1,0,
2,3,
3,5,
4,2,
5,4,
6,3,
1,0,
2,3,
3,5,
4,1,
5,4,
6,4,
1,0,
2,3,
3,4,
4,1,
5,4,
6,6,
1,0,
2,2,
3,4,
4,1,
5,4,
6,5,
1,0,
2,2,
3,4,
4,2,
5,3,
6,4,
1,0,
2,2,
3,4,
4,1,
5,4,
6,5,
1,0,
2,2,
3,3,
4,1,
5,4,
6,4,
1,0,
2,2,
3,3,
4,1,
5,5,
6,4,
1,0,
2,2,
3,4,
4,1,
5,4,
6,5,
1,0,
2,2,
3,4,
4,2,
5,4,
6,5,
1,0,
2,2,
3,4,
4,2,
5,5,
6,5,
1,0,
2,2,
3,4,
4,2,
5,5,
6,7,
1,0,
2,2,
3,4,
4,2,
5,5,
6,6,
1,0,
2,2,
3,5,
4,1,
5,4,
6,5,
1,0,
2,2,
3,5,
4,1,
5,4,
6,6,
1,0,
2,3,
3,5,
4,1,
5,4,
6,5,
1,0,
2,3,
3,4,
4,1,
5,4,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,4,
3,4,
4,1,
5,5,
6,6,
1,0,
2,4,
3,3,
4,1,
5,5,
6,5,
1,0,
2,3,
3,3,
4,1,
5,5,
6,5,
1,0,
2,3,
3,5,
4,1,
5,5,
6,7,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,7,
1,0,
2,3,
3,3,
4,1,
5,5,
6,5,
1,0,
2,3,
3,3,
4,1,
5,5,
6,5,
1,0,
2,3,
3,4,
4,1,
5,5,
6,8,
1,0,
2,3,
3,4,
4,1,
5,5,
6,6,
1,0,
2,3,
3,4,
4,1,
5,5,
6,7,
1,0,
2,3,
3,4,
4,1,
5,5,
6,9,
1,0,
2,3,
3,3,
4,1,
5,5,
6,10,
1,0,
2,3,
3,3,
4,1,
5,5,
6,10,
1,0,
2,3,
3,3,
4,1,
5,5,
6,11,
1,0,
2,3,
3,3,
4,1,
5,5,
6,11,
1,0,
2,3,
3,3,
4,1,
5,4,
6,11,
1,0,
2,3,
3,3,
4,1,
5,5,
6,11,
1,0,
2,3,
3,3,
4,1,
5,5,
6,11,
1,0,
2,3,
3,3,
4,1,
5,5,
6,10,
1,0,
2,3,
3,3,
4,1,
5,5,
6,11,
1,0,
2,3,
3,3,
4,1,
5,5,
6,11,
1,0,
2,3,
3,3,
4,1,
5,5,
6,10,
1,0,
2,3,
3,3,
4,1,
5,5,
6,9,
1,0,
2,2,
3,3,
4,1,
5,5,
6,9,
1,0,
2,2,
3,3,
4,1,
5,5,
6,9,
1,0,
2,2,
3,4,
4,1,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,4,
4,0,
5,5,
6,6,
1,0,
2,2,
3,4,
4,0,
5,4,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,7,
1,0,
2,2,
3,3,
4,0,
5,4,
6,7,
1,0,
2,2,
3,3,
4,0,
5,5,
6,7,
1,0,
2,2,
3,4,
4,0,
5,5,
6,6,
1,0,
2,2,
3,3,
4,0,
5,5,
6,5,
1,0,
2,2,
3,4,
4,0,
5,5,
6,7,
1,0,
2,2,
3,4,
4,0,
5,4,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,7,
1,0,
2,2,
3,4,
4,0,
5,5,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,9,
1,0,
2,2,
3,5,
4,0,
5,5,
6,7,
1,0,
2,2,
3,5,
4,0,
5,5,
6,7,
1,0,
2,2,
3,4,
4,0,
5,5,
6,8,
1,0,
2,2,
3,4,
4,0,
5,5,
6,7,
1,0,
2,2,
3,4,
4,0,
5,5,
6,6,
1,0,
2,2,
3,4,
4,0,
5,5,
6,6,
1,0,
2,2,
3,3,
4,0,
5,5,
6,6,
1,0,
2,2,
3,3,
4,0,
5,6,
6,6,
1,0,
2,2,
3,3,
4,0,
5,6,
6,6,
1,0,
2,2,
3,3,
4,0,
5,6,
6,8,
1,0,
2,2,
3,3,
4,0,
5,6,
6,6,
1,0,
2,2,
3,3,
4,0,
5,6,
6,6,
1,0,
2,2,
3,2,
4,0,
5,6,
6,6,
1,0,
2,2,
3,2,
4,0,
5,6,
6,7,
1,0,
2,2,
3,2,
4,0,
5,6,
6,7,
1,0,
2,2,
3,2,
4,0,
5,6,
6,7,
1,0,
2,2,
3,2,
4,0,
5,7,
6,6,
1,0,
2,2,
3,1,
4,0,
5,7,
6,5,
1,0,
2,2,
3,3,
4,0,
5,6,
6,5,
1,0,
2,2,
3,3,
4,0,
5,6,
6,4,
1,0,
2,2,
3,3,
4,0,
5,6,
6,4,
1,0,
2,2,
3,1,
4,0,
5,6,
6,5,
1,0,
2,2,
3,3,
4,0,
5,6,
6,5,
1,0,
2,2,
3,3,
4,0,
5,6,
6,4,
1,0,
2,2,
3,4,
4,0,
5,6,
6,4,
1,0,
2,2,
3,3,
4,0,
5,6,
6,4,
1,0,
2,2,
3,4,
4,0,
5,6,
6,5,
1,0,
2,2,
3,2,
4,0,
5,6,
6,3,
1,0,
2,2,
3,3,
4,0,
5,6,
6,6,
1,0,
2,2,
3,3,
4,0,
5,6,
6,6,
1,0,
2,2,
3,3,
4,0,
5,5,
6,6,
1,0,
2,2,
3,3,
4,0,
5,5,
6,6,
1,0,
2,2,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,4,
4,0,
5,5,
6,4,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,4,
4,0,
5,6,
6,6,
1,0,
2,3,
3,4,
4,0,
5,4,
6,6,
1,0,
2,3,
3,3,
4,0,
5,4,
6,6,
1,0,
2,3,
3,2,
4,0,
5,4,
6,6,
1,0,
2,3,
3,4,
4,0,
5,4,
6,5,
1,0,
2,3,
3,4,
4,0,
5,4,
6,4,
1,0,
2,2,
3,4,
4,0,
5,4,
6,2,
1,0,
2,3,
3,4,
4,0,
5,4,
6,2,
1,0,
2,3,
3,4,
4,0,
5,4,
6,5,
1,0,
2,3,
3,4,
4,0,
5,4,
6,5,
1,0,
2,3,
3,4,
4,0,
5,5,
6,5,
1,0,
2,3,
3,3,
4,0,
5,5,
6,5,
1,0,
2,3,
3,2,
4,0,
5,5,
6,6,
1,0,
2,3,
3,2,
4,1,
5,5,
6,6,
1,0,
2,2,
3,2,
4,1,
5,4,
6,6,
1,0,
2,2,
3,2,
4,1,
5,6,
6,6,
1,0,
2,3,
3,2,
4,1,
5,5,
6,6,
1,0,
2,3,
3,2,
4,1,
5,5,
6,5,
1,0,
2,3,
3,2,
4,0,
5,5,
6,6,
1,0,
2,3,
3,1,
4,0,
5,5,
6,6,
1,0,
2,2,
3,2,
4,0,
5,5,
6,6,
1,0,
2,4,
3,3,
4,0,
5,5,
6,6,
1,0,
2,4,
3,2,
4,0,
5,6,
6,5,
1,0,
2,4,
3,2,
4,0,
5,5,
6,5,
1,0,
2,4,
3,2,
4,0,
5,5,
6,6,
1,0,
2,4,
3,2,
4,0,
5,7,
6,6,
1,0,
2,2,
3,2,
4,0,
5,7,
6,5,
1,0,
2,2,
3,1,
4,0,
5,7,
6,4,
1,0,
2,2,
3,2,
4,0,
5,7,
6,7,
1,0,
2,2,
3,2,
4,0,
5,5,
6,6,
1,0,
2,2,
3,2,
4,0,
5,7,
6,6,
1,0,
2,2,
3,2,
4,0,
5,6,
6,6,
1,0,
2,2,
3,2,
4,0,
5,6,
6,5,
1,0,
2,1,
3,2,
4,0,
5,6,
6,5,
1,0,
2,1,
3,2,
4,0,
5,6,
6,5,
1,0,
2,2,
3,2,
4,0,
5,6,
6,4,
1,0,
2,2,
3,2,
4,0,
5,6,
6,5,
1,0,
2,1,
3,2,
4,0,
5,6,
6,5,
1,0,
2,1,
3,2,
4,0,
5,7,
6,5,
1,0,
2,3,
3,2,
4,0,
5,7,
6,4,
1,0,
2,2,
3,3,
4,1,
5,7,
6,5,
1,0,
2,2,
3,3,
4,1,
5,7,
6,4,
1,0,
2,2,
3,3,
4,1,
5,7,
6,3,
1,0,
2,3,
3,3,
4,0,
5,7,
6,5,
1,0,
2,3,
3,3,
4,1,
5,7,
6,4,
1,0,
2,2,
3,3,
4,1,
5,7,
6,3,
1,0,
2,2,
3,3,
4,1,
5,6,
6,5,
1,0,
2,2,
3,3,
4,1,
5,5,
6,5,
1,0,
2,2,
3,3,
4,1,
5,6,
6,4,
1,0,
2,2,
3,3,
4,1,
5,7,
6,4,
1,0,
2,3,
3,1,
4,1,
5,7,
6,4,
1,0,
2,4,
3,2,
4,1,
5,6,
6,4,
1,0,
2,4,
3,2,
4,1,
5,6,
6,4,
1,0,
2,4,
3,2,
4,1,
5,6,
6,4,
1,1,
2,4,
3,2,
4,1,
5,6,
6,4,
1,0,
2,4,
3,2,
4,1,
5,6,
6,4,
1,0,
2,4,
3,2,
4,1,
5,5,
6,5,
1,0,
2,4,
3,3,
4,1,
5,5,
6,3,
1,0,
2,4,
3,2,
4,1,
5,5,
6,5,
1,0,
2,3,
3,3,
4,1,
5,3,
6,6,
1,0,
2,2,
3,3,
4,1,
5,4,
6,6,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,3,
4,0,
5,5,
6,6,
1,0,
2,3,
3,3,
4,0,
5,6,
6,6,
1,0,
2,4,
3,3,
4,0,
5,6,
6,5,
1,0,
2,3,
3,2,
4,0,
5,7,
6,5,
1,0,
2,4,
3,3,
4,0,
5,7,
6,5,
1,0,
2,4,
3,3,
4,0,
5,7,
6,5,
1,0,
2,4,
3,3,
4,0,
5,7,
6,5,
1,0,
2,4,
3,3,
4,0,
5,7,
6,6,
1,0,
2,4,
3,3,
4,0,
5,7,
6,5,
1,0,
2,4,
3,4,
4,0,
5,6,
6,4,
1,0,
2,4,
3,4,
4,0,
5,6,
6,5,
1,0,
2,4,
3,4,
4,0,
5,5,
6,4,
1,0,
2,4,
3,4,
4,0,
5,4,
6,3,
1,0,
2,4,
3,4,
4,0,
